type,Jan,Feb,March,April,May,June
ASB,927,934,1125,1104,1097,1180
ARS,192,150,223,169,197,183
DRG,165,122,182,156,160,160
WPN,26,23,26,23,25,25
VEH,428,401,477,414,398,426
VIO,748,717,810,741,794,839
THF,725,674,746,732,757,801
