type,Jan,Feb,March,April,May,June
ASB,866,770,895,1032,1073,1089
ARS,193,149,180,148,200,188
DRG,143,146,126,134,122,138
WPN,22,24,20,17,32,22
VEH,332,368,313,319,331,351
VIO,681,676,772,736,857,890
THF,747,695,711,761,835,753
